api,indicator,cn_name,param_format,param_note,return_cols,status,sample,note
THS_DR,p05309,港股基石投资者明细,ttype=1;sdate={start};edate={end};sfzx=1,ttype=1 港股IPO; sdate/edate=YYYYMMDD; sfzx=1 仅最新,f001-f019 共 18 字段 (公司/基石名/认购金额/锁定期等),✓,20220101-20260507 拉到 1613 条,字段需查对照表 (f001=股票代码 f002=公司简称 ...)
THS_DR,p05310,港股首发信息一览,ttype=1;sdate={start};edate={end};sfzx=1[;IFindKey={codes}],"ttype=1 港股IPO; sdate/edate=YYYYMMDD; sfzx=1 仅最新; 可选 IFindKey=代码1,代码2,... (含 _1 副牌可拉到完整池, 脚本里走 hk_universe.txt)",f001-f054 共 54 字段 (代码/公司/招股价/募资/超购倍数等),✓,20220101-20260507 不带 IFindKey 397 条; 带 hk_universe.txt 可含副牌,"f001=股票代码 (1187.HK 形式), f002=公司简称; IFindKey 清单从 iFinD 客户端「板块成分入口」生成命令获取"
THS_DataPool,block,板块成分股,{date};{block_id},date=YYYY-MM-DD; block_id 见 iFinD「板块成分入口」,"date,thscode,security_name",✓,18A (001005348) 拿到 3 只,"返回 OrderedDict, 用 result['errorcode'] 不是 .errorcode; 数据在 result['tables']"
THS_BD,total_oi,总营业收入,{year}-12-31,"★ 只传单独日期; 加 ',104,100,OC' 反而 None",total_oi (单位: 元),✓,1187.HK 2022→29.77亿 / 2023→28.54亿 / 2024→29.83亿,"iFinD 客户端生成命令是 '104,100,OC' 但代码里要单独日期; 404/95% 非空率 (大部分港股都有)"
THS_BD,gross_selling_rate,销售毛利率,"{year}-12-31,104",104=年报期,gross_selling_rate (单位: %),✓,1187.HK 2022→37.84% / 2024→50.58%,
THS_BD,net_profit_margin_on_sales,销售净利率,"{year}-12-31,104",104=年报期,net_profit_margin_on_sales (单位: %),✓,1187.HK 2024→10.47%,
THS_BD,ths_roe_hks,ROE (港股专用),"{year}-12-31,100",100=合并报表,ths_roe_hks (单位: %),✓,3690.HK 2024→22.06% / 2023→9.87%; 1187.HK 2025→7.69%,_hks 后缀是港股版; A股是 ths_roe_stock
THS_BD,ni_attr_to_cs,归属于母公司股东的净利润,"{year}-12-31,100,OC","报告期, 报表类型(100合并/101母公司/102合并调整/103母公司调整), 货币(OC原币/CNY/USD/HKD)",ni_attr_to_cs (单位: 元),✓,3690.HK 2022→-66.86亿 / 2023→138.56亿 / 2024→358.07亿,"也可用 '104,100,OC' 拿最新一期 (MRQ); iFinD 客户端「财务报表(海外市场)」分类"
THS_BD,ths_total_shares_after_ipo_ld_global,首发后总股本(上市日),(空),无参数; 同 currency_unit 串调用时第三参数填 ';',ths_total_shares_after_ipo_ld_global (单位: 股),✓,1187.HK 235.9M / 3690.HK 5.49B / 0700.HK 1.68B (IPO当时),"静态指标, 港股IPO上市日的总股本快照; 跟 currency_unit (=实际发行总股本) 配合可推上市前总股本"
THS_BD,currency_unit,实际发行总股本 (含超额配售),(空),"无参数; 同上, 第三参数填 ';'","currency_unit ⚠ 列名误导, 实际是股数 (单位: 股)",✓,"1187.HK 27M / 0068.HK 群核 184.7M (>f013 160.6M, 超配行使)","iFinDPy 列名是 currency_unit 但数据是「实际发行总股本」, 含超额配售; 跟 p05310 f013(原计划发行)对比可看绿鞋是否行权"
DERIVED,pre_ipo_shares,上市前总股本 (推算),post_ipo_shares - actual_issued_shares,首发后总股本 - 实际发行总股本 (含超配),pre_ipo_shares (单位: 股),✓,1187.HK 208.9M / 6810.HK 360M / 2476.HK 858.2M (含超配修正),脚本里 [5/6] 步骤自动算入 ifind_share_capital.csv; 用 actual_issued (含超配) 比 p05310 f013 更准
THS_DR,p05493,港股增发信息一览,sdate={start};edate={end};datetype=1[;IFindKey={codes}],datetype=1 按公告日; sdate/edate=YYYYMMDD; IFindKey 同 p05310 (用 hk_universe.txt),f001-f031 + jydm_mc 共 32 字段; 关键: f001代码 f002简称 f003增发方式 f004状态 f005公告日 f006到账日 f007增发数量 f008占增发前股本比例 f009增发价 f010募资总额 f011募资净额 f013币种 f021/f023承销商,✓,"2025+ 港股配售/增发记录, 2565.HK 派格生物 5136000股@58.41 募资2.99亿","用于跟踪 IPO 后再融资稀释; ⚠ f008 是「增发前」(本次再融资前)股本, 不等于「上市前」股本"
THS_BD,ths_stock_short_name_stock,股票简称,(空),无参数,ths_stock_short_name_stock (字符串),✓,3690.HK → '美团-W',_stock 后缀 (此字段港股也通用)
THS_BD,ths_ipo_price_stock,首发价格,(空),无参数,ths_ipo_price_stock (单位: 港币),○,3690.HK → None (合法但拉不到),调用合法但港股大多 None; 港股 IPO 价用 p05310 的 f009 替代
THS_BD,ths_revenue_stock,营业收入 (A股版),"{year}-12-31,100",,—,○,3690.HK / 0700.HK / 9988.HK 全 None,_stock 后缀对港股全 None; 港股用 total_oi 替代
THS_BD,ths_np_stock,净利润 (A股版),"{year}-12-31,100",,—,○,港股全 None,港股用 net_profit_margin_on_sales 算或换其他指标
THS_BD,ths_gpm_stock,毛利率 (A股版),—,,—,✗,err=-209 the params are invalid,指标名不存在; 港股用 gross_selling_rate
THS_BD,ths_total_shares_before_ipo_stock,上市前总股本,—,,—,✗,err=-209,指标名不存在; 用 DERIVED pre_ipo_shares 代替 (后总股本 - 实际发行)
THS_BD,ths_revenue_hks / ths_gross_profit_hks / ths_gross_margin_hks / ths_total_equity_hks,(_hks 营收/毛利/净资产),"{year}-12-31,100",,—,○,3690.HK 全 None,"_hks 后缀这套虽然合法但全 None, 不要再用"
THS_HistoryQuotes,HSI.HK,恒生指数日线收盘,"(thscode, 'close', '', sdate, edate)","5 个位置参数; 第 3 参 jsonparam 可空字符串; sdate/edate=YYYY-MM-DD; ⚠ HSI.HI/HSCEI.HK/HSAHP.HK 全部 -4210, HSI.HK 才是恒生指数",time + close (OrderedDict, result['tables'][0]['table']['close']),✓,2026-05-08 close=26626.28; 1 年 252 日序列拉到; 个股 0700.HK 同样可用,"返回 OrderedDict 不是带属性的对象, 取数路径 result['tables'][0]['table']['close']; 探针确认 HSCEI/HSAHP 在该接口不可用"
THS_DR,p04275,港股通个股资金流向,"type={1沪 / 2深};sdate={start};edate={end}","type=1 沪港通, type=2 深港通; sdate/edate=YYYY-MM-DD; 即使传日期范围也只返回截面 (~901 行)","f001 代码 / f002 名称 / f003 当日资金净流入(港元) / f004 净流入股数 / f005 涨跌幅 / f006 收盘价 / f007 累计净流入(上市以来) / f008 H 成交额 / f009 持股市值 / f010 持股占比 / f011 行业大类 / f012 行业小类",✓,2026-05-07 type=2 共 901 行; sum(f003)=683.66 亿港元 当日全市场南向净流入,"30 日累计需 daily 累积或循环 30 次调用; 字段是文本含 '--', 用 pd.to_numeric(..., errors='coerce') 转数"
THS_DR,p03508,AH 股价格比对,date={YYYYMMDD},"date=单日 YYYYMMDD; 不支持范围, 一次返回当日全部 AH 对","jydm H 代码 / jydm_mc H 名 / f001 日期 / f002 H/A 比价 / f003 折/溢价标识 / f004 H 相对 A 溢价% (H 折价时为负) / f005 H 价(港币) / f008 H 成交额 / f009 A 代码 / f010 A 名 / f011 日期 / f012 A 价(人民币) / f013 A 涨跌 / f014 A 成交额 / f015/f016 行业",✓,2026-05-08 共 189 对 AH 股; 成交额加权 H_over_A = -30.29% (即 A_over_H = +30.29%),"用作 HSAHP 替代 (官方 HSAHP.* 代码 -4210); 想对齐 HSAHP 习惯需 f004 取反 (HSAHP 是 A 相对 H 溢价, 正数=A 贵); 60 日序列需 daily 累积"
THS_EDB,S032219215,粤港澳大湾区跨境理财通南向(月度),"(id, '', sdate, edate)","5 个位置参数; sdate/edate=YYYY-MM-DD; 月度数据, 月末值",time / id / value / index_name / rtime (DataFrame),✓,2025-05~2026-03 共 11 行; 最近 2026-03 = 16.05 亿,"⚠ 是「跨境理财通南向」(大湾区居民买香港理财), 不是「港股通南向」(A 股投资者买港股); 港股通南向用 p04275"
THS_HistoryQuotes,HSTECH.HK,恒生科技指数,"(thscode, 'close', '', sdate, edate)",同 HSI.HK; HSCEI.HK 反而失败,close 序列 (OrderedDict),✓,2026-05-08 close=5121.10,港股 AI/大模型/科技主题首选代理 (港股没有概念板块编码体系)
THS_HistoryQuotes,HSCI.HK,恒生综合指数,"(thscode, 'close', '', sdate, edate)",同 HSI.HK,close 序列,✓,2026-05-08 close=4017.63,综合行情代理
THS_HistoryQuotes,HSCIIT.HK,恒生综合-资讯科技业,"(thscode, 'close', '', sdate, edate)",同 HSI.HK; ⚠ HSCII.HK (少一个 T) 失败,close 序列,✓,2026-05-08 close=14993.60,恒生综合行业指数 (资讯科技业子集)
THS_HistoryQuotes,930967.CSI,中证港股通信息技术综合,"(thscode, 'close', '', sdate, edate)","⚠ 中证指数后缀必须是 .CSI; 930967.SH/.HK/.IDX 全部 -4210",close 序列,✓,2026-05-08 close=5127.81,半导体/IT 主题代理 (港股通范围); 类似的有 931573.CSI 港股通科技 / 931574.CSI 港股通TMT / H30269.CSI 中证港股通TMT
THS_iwencai,(query domain),i问财自然语言查询,"(query, domain, outflag=False)","domain ∈ {news, report, abstract, researchreport, announcement, 公告} 都返回 ec=0; stock 返回 -1201",OrderedDict; tables[0]={'table':...} 但 table 内部基本是空,✗,无法拉到新闻全文; ec=0 但 tables[0]['table'] 实际为空,iFinD 无独立新闻 API; 想要新闻文本要用 FT/财新 RSS / Bloomberg / akshare
THS_WC,(query domain),i问财查询 (DataFrame 版),"(query, domain, format='format:dataframe')",同 iwencai; 通常 domain=news,DataFrame 1 行: 指数代码 / 指数简称 / 指数@新闻='查看明细',✗,只返回「查看明细」链接占位 (1 行 placeholder),只能拿到指针 (查看链接), 不能直接拉文本; iFinD 不适合做新闻抓取
THS_iEvent,—,事件数据,"(name, paramname, FunOption, format='format:dataframe')",—,—,✗,err=-5100 'account type is not supported',账号权限不够; 跳过
